#wave(A)    	flux(maggies)	flux(ABmag)
1.285599e+03	5.439067e-10	2.316119e+01
1.298265e+03	4.293005e-10	2.341810e+01
1.310931e+03	4.396148e-10	2.339232e+01
1.323597e+03	8.201081e-10	2.271532e+01
1.336263e+03	8.192829e-10	2.271642e+01
1.348929e+03	8.614881e-10	2.266188e+01
1.361595e+03	9.375531e-10	2.257001e+01
1.374261e+03	6.841587e-10	2.291211e+01
1.386927e+03	1.015026e-09	2.248381e+01
1.399593e+03	9.373540e-10	2.257024e+01
1.412259e+03	7.162084e-10	2.286240e+01
1.424925e+03	6.320336e-10	2.299815e+01
1.437591e+03	1.009830e-09	2.248938e+01
1.450257e+03	8.994848e-10	2.261502e+01
1.462923e+03	1.076724e-09	2.241974e+01
1.475589e+03	1.195898e-09	2.230576e+01
1.488255e+03	6.811901e-10	2.291683e+01
1.500921e+03	1.095863e-09	2.240061e+01
1.513587e+03	1.202999e-09	2.229934e+01
1.526253e+03	1.103727e-09	2.239285e+01
1.538919e+03	9.062826e-10	2.260684e+01
1.551585e+03	1.085904e-09	2.241052e+01
1.564251e+03	1.230155e-09	2.227510e+01
1.576917e+03	1.425806e-09	2.211485e+01
1.589583e+03	1.502064e-09	2.205828e+01
1.602249e+03	1.527352e-09	2.204015e+01
1.614915e+03	1.722405e-09	2.190966e+01
1.627581e+03	1.758435e-09	2.188718e+01
1.640247e+03	1.406828e-09	2.212940e+01
1.652913e+03	1.671174e-09	2.194245e+01
1.665579e+03	1.699586e-09	2.192414e+01
1.678245e+03	1.547505e-09	2.202592e+01
1.690911e+03	1.530030e-09	2.203825e+01
1.703577e+03	1.960996e-09	2.176881e+01
1.716243e+03	1.658297e-09	2.195084e+01
1.728909e+03	1.684265e-09	2.193397e+01
1.741575e+03	1.736690e-09	2.190069e+01
1.754241e+03	1.397465e-09	2.213665e+01
1.766907e+03	1.487428e-09	2.206891e+01
1.779573e+03	2.052219e-09	2.171944e+01
1.792239e+03	1.794263e-09	2.186528e+01
1.804905e+03	1.778347e-09	2.187496e+01
1.817571e+03	1.820318e-09	2.184963e+01
1.826437e+03	1.972547e-09	2.176243e+01
1.832770e+03	2.047953e-09	2.172170e+01
1.842903e+03	1.875665e-09	2.181711e+01
1.855569e+03	1.866045e-09	2.182269e+01
1.868235e+03	2.033153e-09	2.172957e+01
1.880901e+03	1.993121e-09	2.175117e+01
1.893567e+03	2.119150e-09	2.168460e+01
1.906233e+03	1.860269e-09	2.182606e+01
1.915099e+03	1.692531e-09	2.192866e+01
1.921432e+03	1.966948e-09	2.176552e+01
1.931565e+03	1.802445e-09	2.186035e+01
1.944231e+03	1.472576e-09	2.207981e+01
1.956897e+03	1.122780e-09	2.237426e+01
1.969563e+03	2.258144e-09	2.161562e+01
1.982229e+03	1.764961e-09	2.188316e+01
1.994895e+03	1.733839e-09	2.190248e+01
2.007561e+03	1.844360e-09	2.183539e+01
2.020227e+03	2.058452e-09	2.171615e+01
2.032893e+03	2.192971e-09	2.164742e+01
2.045559e+03	2.202066e-09	2.164292e+01
2.058225e+03	2.164712e-09	2.166150e+01
2.070891e+03	2.014077e-09	2.173981e+01
2.083557e+03	2.172885e-09	2.165741e+01
2.096223e+03	2.243679e-09	2.162260e+01
2.108889e+03	2.120768e-09	2.168377e+01
2.117755e+03	1.974718e-09	2.176124e+01
2.124088e+03	2.220265e-09	2.163399e+01
2.134221e+03	2.570802e-09	2.147483e+01
2.146887e+03	2.271496e-09	2.160922e+01
2.159553e+03	2.384069e-09	2.155670e+01
2.172219e+03	2.087896e-09	2.170073e+01
2.184885e+03	2.107453e-09	2.169061e+01
2.197551e+03	2.496708e-09	2.150658e+01
2.210217e+03	2.237729e-09	2.162548e+01
2.222883e+03	2.700216e-09	2.142150e+01
2.235549e+03	2.550647e-09	2.148337e+01
2.248215e+03	2.348785e-09	2.157289e+01
2.260881e+03	2.488009e-09	2.151037e+01
2.273547e+03	2.787402e-09	2.138700e+01
2.286213e+03	2.576177e-09	2.147256e+01
2.298879e+03	2.618210e-09	2.145499e+01
2.311545e+03	2.534365e-09	2.149033e+01
2.324211e+03	2.630517e-09	2.144990e+01
2.336877e+03	2.418839e-09	2.154098e+01
2.349543e+03	2.479763e-09	2.151397e+01
2.362209e+03	2.507206e-09	2.150202e+01
2.374875e+03	2.780548e-09	2.138967e+01
2.387541e+03	2.397257e-09	2.155071e+01
2.400207e+03	2.386779e-09	2.155547e+01
2.412873e+03	2.788403e-09	2.138661e+01
2.425539e+03	2.566378e-09	2.147670e+01
2.438205e+03	2.570727e-09	2.147486e+01
2.450871e+03	2.799829e-09	2.138217e+01
2.463537e+03	2.875987e-09	2.135303e+01
2.476203e+03	2.476475e-09	2.151542e+01
2.491402e+03	2.978377e-09	2.131505e+01
2.502802e+03	2.929659e-09	2.133296e+01
2.512934e+03	2.822608e-09	2.137337e+01
2.526867e+03	2.896837e-09	2.134519e+01
2.539533e+03	2.890487e-09	2.134757e+01
2.552199e+03	2.975452e-09	2.131612e+01
2.564865e+03	3.052938e-09	2.128820e+01
2.577531e+03	2.742087e-09	2.140480e+01
2.590197e+03	2.961388e-09	2.132126e+01
2.602863e+03	2.991957e-09	2.131011e+01
2.615529e+03	2.984109e-09	2.131296e+01
2.626928e+03	3.226356e-09	2.122822e+01
2.631995e+03	2.882172e-09	2.135070e+01
2.640861e+03	2.962914e-09	2.132070e+01
2.653527e+03	3.062835e-09	2.128469e+01
2.666193e+03	3.202232e-09	2.123637e+01
2.678859e+03	3.066479e-09	2.128340e+01
