#wave(A)    	flux(maggies)	flux(ABmag)
1.289050e+03	6.341127e-10	2.299458e+01
1.301750e+03	4.658495e-10	2.332939e+01
1.314450e+03	5.495209e-10	2.315004e+01
1.327150e+03	8.980080e-10	2.261680e+01
1.339850e+03	9.136544e-10	2.259805e+01
1.352550e+03	9.420508e-10	2.256481e+01
1.365250e+03	1.008763e-09	2.249053e+01
1.377950e+03	8.258678e-10	2.270772e+01
1.390650e+03	1.105825e-09	2.239078e+01
1.403350e+03	1.105159e-09	2.239144e+01
1.416050e+03	9.562732e-10	2.254855e+01
1.428750e+03	8.292978e-10	2.270322e+01
1.441450e+03	1.184308e-09	2.231634e+01
1.454150e+03	1.013256e-09	2.248570e+01
1.466850e+03	1.235943e-09	2.227000e+01
1.479550e+03	1.328242e-09	2.219181e+01
1.492250e+03	8.382890e-10	2.269152e+01
1.504950e+03	1.217421e-09	2.228640e+01
1.517650e+03	1.321534e-09	2.219730e+01
1.530350e+03	1.245393e-09	2.226173e+01
1.543050e+03	8.670484e-10	2.265489e+01
1.555750e+03	1.172590e-09	2.232713e+01
1.568450e+03	1.316059e-09	2.220181e+01
1.581150e+03	1.721681e-09	2.191012e+01
1.593850e+03	1.680293e-09	2.193654e+01
1.606550e+03	1.646404e-09	2.195866e+01
1.619250e+03	1.863452e-09	2.182420e+01
1.631950e+03	1.909202e-09	2.179787e+01
1.644650e+03	1.681765e-09	2.193559e+01
1.657350e+03	1.825665e-09	2.184645e+01
1.670050e+03	1.939546e-09	2.178075e+01
1.682750e+03	1.844858e-09	2.183509e+01
1.695450e+03	1.802993e-09	2.186001e+01
1.708150e+03	2.130948e-09	2.167857e+01
1.720850e+03	1.944478e-09	2.177799e+01
1.733550e+03	1.914755e-09	2.179472e+01
1.746250e+03	1.978947e-09	2.175891e+01
1.758950e+03	1.989400e-09	2.175319e+01
1.771650e+03	2.211084e-09	2.163849e+01
1.784350e+03	2.340735e-09	2.157662e+01
1.797050e+03	2.135686e-09	2.167616e+01
1.809750e+03	2.063953e-09	2.171325e+01
1.822450e+03	2.185519e-09	2.165111e+01
1.831340e+03	2.288784e-09	2.160099e+01
1.837690e+03	2.360817e-09	2.156734e+01
1.847850e+03	2.248793e-09	2.162013e+01
1.860550e+03	2.225859e-09	2.163126e+01
1.873250e+03	2.333834e-09	2.157982e+01
1.885950e+03	2.318720e-09	2.158688e+01
1.898650e+03	2.439506e-09	2.153175e+01
1.911350e+03	2.247311e-09	2.162084e+01
1.920240e+03	2.109565e-09	2.168952e+01
1.926590e+03	2.302742e-09	2.159439e+01
1.936750e+03	2.180654e-09	2.165353e+01
1.949450e+03	2.083015e-09	2.170327e+01
1.962150e+03	1.495155e-09	2.206328e+01
1.974850e+03	2.589982e-09	2.146676e+01
1.987550e+03	2.184252e-09	2.165174e+01
2.000250e+03	2.114142e-09	2.168716e+01
2.012950e+03	2.266011e-09	2.161184e+01
2.025650e+03	2.486427e-09	2.151106e+01
2.038350e+03	2.578088e-09	2.147176e+01
2.051050e+03	2.586371e-09	2.146827e+01
2.063750e+03	2.558586e-09	2.148000e+01
2.076450e+03	2.435315e-09	2.153361e+01
2.089150e+03	2.581052e-09	2.147051e+01
2.101850e+03	2.601194e-09	2.146207e+01
2.114550e+03	2.537369e-09	2.148904e+01
2.123440e+03	2.346500e-09	2.157395e+01
2.129790e+03	2.585798e-09	2.146851e+01
2.139950e+03	2.925940e-09	2.133434e+01
2.152650e+03	2.704741e-09	2.141969e+01
2.165350e+03	2.767727e-09	2.139469e+01
2.178050e+03	2.606938e-09	2.145967e+01
2.190750e+03	2.501208e-09	2.150463e+01
2.203450e+03	2.887942e-09	2.134853e+01
2.216150e+03	2.665955e-09	2.143537e+01
2.228850e+03	3.049249e-09	2.128952e+01
2.241550e+03	2.897637e-09	2.134489e+01
2.254250e+03	2.775425e-09	2.139168e+01
2.266950e+03	2.934288e-09	2.133124e+01
2.279650e+03	3.177401e-09	2.124482e+01
2.292350e+03	3.037483e-09	2.129372e+01
2.305050e+03	3.048878e-09	2.128965e+01
2.317750e+03	3.007665e-09	2.130443e+01
2.330450e+03	3.068728e-09	2.128260e+01
2.343150e+03	2.885394e-09	2.134949e+01
2.355850e+03	2.922588e-09	2.133558e+01
2.368550e+03	2.986044e-09	2.131226e+01
2.381250e+03	3.192168e-09	2.123979e+01
2.393950e+03	2.862014e-09	2.135832e+01
2.406650e+03	2.808323e-09	2.137888e+01
2.419350e+03	3.198483e-09	2.123764e+01
2.432050e+03	3.058135e-09	2.128636e+01
2.444750e+03	3.072880e-09	2.128114e+01
2.457450e+03	3.214084e-09	2.123236e+01
2.470150e+03	3.342411e-09	2.118985e+01
2.482850e+03	3.015532e-09	2.130159e+01
2.498090e+03	3.433690e-09	2.116060e+01
2.509520e+03	3.435191e-09	2.116012e+01
2.519680e+03	3.328272e-09	2.119445e+01
2.533650e+03	3.345153e-09	2.118896e+01
2.546350e+03	3.314156e-09	2.119907e+01
2.559050e+03	3.399063e-09	2.117160e+01
2.571750e+03	3.466390e-09	2.115031e+01
2.584450e+03	3.240617e-09	2.122343e+01
2.597150e+03	3.454417e-09	2.115406e+01
2.609850e+03	3.493555e-09	2.114183e+01
2.622550e+03	3.482104e-09	2.114540e+01
2.633980e+03	3.695274e-09	2.108088e+01
2.639060e+03	3.448742e-09	2.115585e+01
2.647950e+03	3.463507e-09	2.115121e+01
2.660650e+03	3.560187e-09	2.112132e+01
2.673350e+03	3.637826e-09	2.109790e+01
2.686050e+03	3.549694e-09	2.112452e+01
2.698750e+03	3.753768e-09	2.106383e+01
2.711450e+03	3.598355e-09	2.110974e+01
2.724150e+03	3.704493e-09	2.107818e+01
2.736850e+03	3.788676e-09	2.105378e+01
2.749550e+03	3.732099e-09	2.107012e+01
2.762250e+03	3.736083e-09	2.106896e+01
2.774950e+03	3.746031e-09	2.106607e+01
2.787650e+03	3.882798e-09	2.102714e+01
2.800350e+03	3.833486e-09	2.104102e+01
2.813050e+03	3.738941e-09	2.106813e+01
2.825750e+03	3.703350e-09	2.107851e+01
2.838450e+03	3.898498e-09	2.102276e+01
2.851150e+03	3.798887e-09	2.105086e+01
2.863850e+03	3.742735e-09	2.106703e+01
2.876550e+03	3.797756e-09	2.105118e+01
2.889250e+03	3.895863e-09	2.102349e+01
2.901950e+03	3.984142e-09	2.099916e+01
2.914650e+03	3.856912e-09	2.103440e+01
2.927350e+03	3.912923e-09	2.101875e+01
2.940050e+03	3.848095e-09	2.103689e+01
2.952750e+03	3.410711e-09	2.116789e+01
2.965450e+03	3.746875e-09	2.106583e+01
2.978150e+03	3.655053e-09	2.109277e+01
2.990850e+03	3.892760e-09	2.102436e+01
3.003550e+03	3.704299e-09	2.107823e+01
3.016250e+03	3.820584e-09	2.104468e+01
3.028950e+03	3.633753e-09	2.109911e+01
3.041650e+03	3.809474e-09	2.104784e+01
3.054350e+03	3.745003e-09	2.106637e+01
3.067050e+03	3.811944e-09	2.104713e+01
3.079750e+03	3.986869e-09	2.099842e+01
3.092450e+03	3.911469e-09	2.101915e+01
3.105150e+03	4.070767e-09	2.097581e+01
3.117850e+03	4.049619e-09	2.098146e+01
3.130550e+03	4.061019e-09	2.097841e+01
3.143250e+03	3.987249e-09	2.099832e+01
3.155950e+03	4.085882e-09	2.097179e+01
3.168650e+03	3.987537e-09	2.099824e+01
3.181350e+03	4.269748e-09	2.092399e+01
3.191510e+03	4.011997e-09	2.099160e+01
3.197860e+03	4.056050e-09	2.097974e+01
3.206750e+03	3.953151e-09	2.100764e+01
3.219450e+03	3.990716e-09	2.099737e+01
3.232150e+03	3.997241e-09	2.099560e+01
3.244850e+03	4.195610e-09	2.094301e+01
3.257550e+03	4.168099e-09	2.095015e+01
3.270250e+03	4.346358e-09	2.090469e+01
3.282950e+03	4.355865e-09	2.090231e+01
3.295650e+03	4.342506e-09	2.090565e+01
3.308350e+03	4.266750e-09	2.092476e+01
3.321050e+03	4.251840e-09	2.092856e+01
3.333750e+03	4.422702e-09	2.088578e+01
3.346450e+03	4.511337e-09	2.086424e+01
3.359150e+03	4.811010e-09	2.079441e+01
3.371850e+03	4.880727e-09	2.077879e+01
3.384550e+03	4.641858e-09	2.083327e+01
3.397250e+03	4.796861e-09	2.079761e+01
3.409950e+03	4.832902e-09	2.078948e+01
3.422650e+03	4.701951e-09	2.081930e+01
3.435350e+03	4.814245e-09	2.079368e+01
3.448050e+03	4.677707e-09	2.082492e+01
3.460750e+03	4.699890e-09	2.081978e+01
3.473450e+03	4.894848e-09	2.077565e+01
3.486150e+03	4.490579e-09	2.086924e+01
3.498850e+03	4.587694e-09	2.084601e+01
3.511550e+03	4.734250e-09	2.081187e+01
3.524250e+03	4.910877e-09	2.077210e+01
3.536950e+03	4.764890e-09	2.080487e+01
3.549650e+03	4.072336e-09	2.097539e+01
3.562350e+03	4.309642e-09	2.091390e+01
3.575050e+03	5.023973e-09	2.074738e+01
3.587750e+03	5.184159e-09	2.071330e+01
3.600450e+03	5.096455e-09	2.073183e+01
3.613150e+03	5.022968e-09	2.074760e+01
3.625850e+03	4.943007e-09	2.076502e+01
3.638550e+03	5.242092e-09	2.070124e+01
3.651250e+03	5.261308e-09	2.069727e+01
3.663950e+03	5.308563e-09	2.068756e+01
3.676650e+03	5.301032e-09	2.068910e+01
3.695700e+03	5.646946e-09	2.062047e+01
3.721100e+03	5.569278e-09	2.063550e+01
3.746500e+03	5.580559e-09	2.063331e+01
3.771900e+03	5.697793e-09	2.061073e+01
3.797300e+03	5.783107e-09	2.059460e+01
3.822700e+03	5.889050e-09	2.057489e+01
3.848100e+03	5.954552e-09	2.056288e+01
3.873500e+03	6.022453e-09	2.055057e+01
3.898900e+03	6.094789e-09	2.053760e+01
3.924300e+03	6.191692e-09	2.052048e+01
3.949700e+03	6.236027e-09	2.051273e+01
3.975100e+03	6.252685e-09	2.050983e+01
