#wave(A)    	flux(maggies)	flux(ABmag)
1.289050e+03	6.124523e-11	2.553232e+01
1.301750e+03	3.472513e-11	2.614839e+01
1.314450e+03	5.750618e-11	2.560071e+01
1.327150e+03	1.039784e-10	2.495764e+01
1.339850e+03	1.896446e-10	2.430515e+01
1.352550e+03	2.619648e-10	2.395439e+01
1.365250e+03	3.479676e-10	2.364615e+01
1.377950e+03	3.827415e-10	2.354274e+01
1.390650e+03	4.092443e-10	2.347004e+01
1.403350e+03	5.079871e-10	2.323537e+01
1.416050e+03	5.277122e-10	2.319401e+01
1.428750e+03	5.102570e-10	2.323053e+01
1.441450e+03	5.398939e-10	2.316923e+01
1.454150e+03	4.844622e-10	2.328685e+01
1.466850e+03	4.276057e-10	2.342239e+01
1.479550e+03	3.726691e-10	2.357169e+01
1.492250e+03	2.472195e-10	2.401729e+01
1.504950e+03	1.649399e-10	2.445669e+01
1.517650e+03	9.518044e-11	2.505363e+01
1.530350e+03	6.894594e-11	2.540373e+01
1.543050e+03	3.442521e-11	2.615781e+01
1.555750e+03	6.753798e-11	2.542613e+01
1.568450e+03	9.854679e-11	2.501589e+01
1.581150e+03	1.785833e-10	2.437040e+01
1.593850e+03	3.042403e-10	2.379196e+01
1.606550e+03	3.851189e-10	2.353601e+01
1.619250e+03	5.839215e-10	2.308411e+01
1.631950e+03	7.565664e-10	2.280288e+01
1.644650e+03	8.620472e-10	2.266117e+01
1.657350e+03	8.894444e-10	2.262720e+01
1.670050e+03	1.041843e-09	2.245549e+01
1.682750e+03	1.123446e-09	2.237362e+01
1.695450e+03	1.177492e-09	2.232261e+01
1.708150e+03	1.287851e-09	2.222534e+01
1.720850e+03	1.278043e-09	2.223364e+01
1.733550e+03	1.298480e-09	2.221641e+01
1.746250e+03	1.365435e-09	2.216182e+01
1.758950e+03	1.424061e-09	2.211618e+01
1.771650e+03	1.475876e-09	2.207738e+01
1.784350e+03	1.498191e-09	2.206108e+01
1.797050e+03	1.505458e-09	2.205583e+01
1.809750e+03	1.536888e-09	2.203339e+01
