 1 2 3 4 5 6 7 8 9 10 11 12
2942730000000 4.38476E-24 4.40106E-24 4.40106E-24 4.40106E-24 4.40106E-24 2.08365E-21 5.17875E-21 7.51109E-19 0 0 0 0.0841374
3398210000000 3.60797E-24 3.62171E-24 3.62171E-24 3.62171E-24 3.62171E-24 1.79016E-21 4.59923E-21 5.62743E-19 0 0 0 0.082541
3924190000000 2.96409E-24 2.97569E-24 2.97569E-24 2.97569E-24 2.97569E-24 1.53959E-21 4.08974E-21 3.90215E-19 0 0 0 0.08163
4531580000000 2.42991E-24 2.43975E-24 2.43975E-24 2.43975E-24 2.43975E-24 1.32223E-21 3.63877E-21 2.5985E-19 0 0 0 0.0813928
5232990000000 1.98723E-24 1.99559E-24 1.99559E-24 1.99559E-24 1.99559E-24 1.13743E-21 3.26223E-21 1.96767E-19 0 0 0 0.0818329
6042960000000 1.6209E-24 1.62802E-24 1.62802E-24 1.62802E-24 1.62802E-24 9.7921E-22 2.92918E-21 1.3153E-19 0 0 0 0.0829683
6978310000000 1.31858E-24 1.32464E-24 1.32464E-24 1.32464E-24 1.32464E-24 8.45447E-22 2.64364E-21 9.59824E-20 0 0 0 0.0848322
8058420000000 1.06987E-24 1.07502E-24 1.07502E-24 1.07502E-24 1.07502E-24 7.29979E-22 2.38871E-21 6.47484E-20 0 0 0 0.0874729
9305720000000 8.65744E-25 8.70135E-25 8.70135E-25 8.70135E-25 8.70135E-25 6.32554E-22 2.15749E-21 4.16361E-20 0 0 0 0.0909553
10746100000000 6.98648E-25 7.02411E-25 7.02411E-25 7.02411E-25 7.02411E-25 5.49727E-22 1.96003E-21 3.09237E-20 0 0 0 0.0953611
12409400000000 5.62347E-25 5.65609E-25 5.65609E-25 5.65609E-25 5.65609E-25 4.79758E-22 1.77878E-21 2.00157E-20 0 0 0 0.10079
14330100000000 4.51479E-25 4.54366E-25 4.54366E-25 4.54366E-25 4.54366E-25 4.19278E-22 1.61198E-21 1.23954E-20 0 0 0 0.10736
16548200000000 3.61785E-25 3.64427E-25 3.64427E-25 3.64427E-25 3.64427E-25 3.68893E-22 1.47362E-21 9.38241E-21 0 0 0 0.115206
19109500000000 2.8937E-25 2.91901E-25 2.91901E-25 2.91901E-25 2.91901E-25 3.24647E-22 1.33799E-21 5.85414E-21 0 0 0 0.12448
22067300000000 2.31367E-25 2.33932E-25 2.33932E-25 2.33932E-25 2.33932E-25 2.88235E-22 1.22247E-21 4.29949E-21 0 0 0 0.135345
25483000000000 1.84992E-25 1.8774E-25 1.8774E-25 1.8774E-25 1.8774E-25 2.56464E-22 1.10768E-21 2.73199E-21 0 0 0 0.147968
29427300000000 1.4814E-25 1.51214E-25 1.51214E-25 1.51214E-25 1.51214E-25 2.29042E-22 9.9984E-22 1.67172E-21 0 0 0 0.162507
