,log10E_GeV,fluence_GeV
0,0.9284742627828947,-3.1800253525532103
1,0.9909741687918767,-3.1724851749042804
2,1.0534726061696364,-3.16528136073937
3,1.1159741462143078,-3.158694311241585
4,1.1784727090066445,-3.1523196340289603
5,1.2409725843029773,-3.146446667666883
6,1.303473939343112,-3.1406762841681632
7,1.365973801857923,-3.1353242430027457
8,1.4284735986793473,-3.1299944932162074
9,1.4909734118453453,-3.125011568342358
10,1.5534730364987854,-3.1199936977921254
11,1.6159732899405028,-3.115260010672144
12,1.6784731046609327,-3.1104539689575788
13,1.7409736434787164,-3.1049775327396083
14,1.8034732839257968,-3.0991435962941525
15,1.8659733660148212,-3.093049208485728
16,1.9284742627828946,-3.0867792770684037
17,1.9909741687918767,-3.080411177324623
18,2.0534726061696364,-3.074010119443435
19,2.115974146214308,-3.0676200840715317
20,2.1784727090066447,-3.061289732051198
21,2.2409725843029773,-3.0550588968657295
22,2.303473939343112,-3.048957634467631
23,2.365973801857923,-3.0430307590665735
24,2.4284735986793473,-3.0373128794287854
25,2.4909734118453453,-3.031824102728532
26,2.5534730364987857,-3.0266089783967396
27,2.6159732899405026,-3.0217134927971805
28,2.6784731046609327,-3.0171523842595422
29,2.7409736434787164,-3.0129807749613633
30,2.8034732839257965,-3.0092676395092393
31,2.865973366014821,-3.0060197808267897
32,2.9284742627828946,-3.003317008856066
33,2.990974168791877,-3.001257912708991
34,3.0534726061696364,-2.9997942675721174
35,3.115974146214308,-2.999097400145374
36,3.1784727090066447,-2.999157333808758
37,3.2409725843029773,-3.0002510477619486
38,3.303473939343112,-3.0022969046102643
39,3.365973801857923,-3.0053759839473115
40,3.4284735986793473,-3.0097183070804845
41,3.4909734118453453,-3.0153261458584053
42,3.5534730364987857,-3.0223052644201327
43,3.615973289940503,-3.0308091441692264
44,3.6784731046609327,-3.0406295885715946
45,3.7409736434787164,-3.0522164841309727
46,3.803473283925797,-3.066249955368013
47,3.865973366014821,-3.0815958088817386
48,3.9284742627828946,-3.099038735929108
49,3.990974168791877,-3.120058122247085
50,4.0534726061696364,-3.1428455345465913
51,4.115974146214308,-3.1689416504057477
52,4.178472709006645,-3.1982559347313515
53,4.240972584302977,-3.2314059420584833
54,4.303473939343112,-3.2681975392047726
55,4.3659738018579235,-3.313158231120839
56,4.428473598679347,-3.3580673666092555
57,4.490973411845345,-3.4108875010786073
58,4.553473036498786,-3.468745835761349
59,4.615973289940503,-3.5262114528057653
60,4.678473104660933,-3.5862652304097056
61,4.740973643478717,-3.6518231105657737
62,4.803473283925797,-3.7115524754166893
63,4.865973366014821,-3.762908930716268
64,4.928474262782895,-3.800927616139927
65,4.990974168791877,-3.814404910382233
66,5.0534726061696364,-3.8213955187553235
67,5.115974146214308,-3.804745408345512
68,5.178472709006645,-3.77121717300017
69,5.240972584302978,-3.732301501525239
70,5.303473939343112,-3.6816249211152448
71,5.3659738018579235,-3.628144336194676
72,5.428473598679347,-3.572731439546674
73,5.490973411845345,-3.52133128181509
74,5.553473036498786,-3.468249544255135
75,5.615973289940503,-3.414067377894786
76,5.678473104660933,-3.37793955113602
77,5.740973643478716,-3.3371395033623306
78,5.803473283925797,-3.3084391034023604
79,5.865973366014821,-3.2987858041462115
80,5.928474262782895,-3.2838642625494976
81,5.990974168791877,-3.280621238208797
82,6.0534726061696364,-3.2975880527856853
83,6.115974146214308,-3.3363748141882112
84,6.178472709006645,-3.378214422919585
85,6.240972584302978,-3.429093364122684
86,6.303473939343112,-3.522787259614215
87,6.3659738018579235,-3.617342295823236
88,6.428473598679347,-3.7693869091697785
89,6.490973411845345,-3.9029034281812565
90,6.553473036498786,-4.0819288801001
91,6.615973289940503,-4.299294316591801
92,6.678473104660933,-4.501964073391538
93,6.740973643478717,-4.805281967379185
94,6.803473283925797,-5.009468190617847
95,6.865973366014821,-5.632174354782899
96,6.928474262782895,-6.113738895012609
97,6.990974168791877,-6.352268859344886
98,7.0534726061696364,-inf
99,7.115974146214308,-inf
100,7.178472709006645,-inf
101,7.240972584302977,-inf
102,7.303473939343112,-inf
103,7.3659738018579235,-inf
104,7.428473598679347,-inf
105,7.490973411845345,-inf
106,7.553473036498786,-inf
107,7.615973289940503,-inf
108,7.678473104660933,-inf
109,7.740973643478717,-inf
110,7.803473283925797,-inf
111,7.865973366014821,-inf
