temp1,temp1_chisq,temp2,temp2_chisq,scale1,scale1_chisq,scale2,scale2_chisq
11000,17.6906943961882,1500,25.2164759848893,2.8E+023,16.3646544645714,5E+019,20.0316587661931
11400,15.7068450522221,1600,18.3329042982439,3E+023,15.2956581109243,6E+019,16.1816138916215
11500,15.3444452671913,1650,16.0770742540015,3.1E+023,14.9178851092543,6.2E+019,15.7004069635381
11700,14.7834282118858,1680,15.154652965377,3.47E+023,14.3306434490667,7E+019,14.539316779749
12098.7104,14.3306434490667,1700,14.7275376008378,3.7E+023,14.5367567975829,7.56E+019,14.3306434490667
12500,14.7957735662919,1745.07402,14.3306434490667,4E+023,15.3684232969823,8E+019,14.4459753283202
12800,15.7626231211187,1800,14.9216210507392,4.2E+023,16.2336117339068,9E+019,15.4228306669734
,,1820,15.4294852282241,,,9.7E+019,16.5585343275387
,,1850,16.4798616799753,,,,
