,log10E_GeV,fluence_GeV
0,0.9284742627828947,-7.570573709605381
1,0.9909741687918767,-7.47976709443372
2,1.0534726061696364,-7.389324921534805
3,1.1159741462143078,-7.29942040321885
4,1.1784727090066445,-7.209916529775363
5,1.2409725843029773,-7.120500622380058
6,1.303473939343112,-7.03144089982849
7,1.365973801857923,-6.942494171668216
8,1.4284735986793473,-6.853776429011298
9,1.4909734118453453,-6.76509212100921
10,1.5534730364987854,-6.67651254768897
11,1.6159732899405028,-6.588155366910632
12,1.6784731046609327,-6.499620827366277
13,1.7409736434787164,-6.429124826344716
14,1.8034732839257968,-6.359257609392378
15,1.8659733660148212,-6.289495705412578
16,1.9284742627828946,-6.220017946609361
17,1.9909741687918767,-6.151067900692647
18,2.0534726061696364,-6.082415296088658
19,2.115974146214308,-6.0138748102347375
20,2.1784727090066447,-5.945832926937397
21,2.2409725843029773,-5.878101128999726
22,2.303473939343112,-5.810298550320106
23,2.365973801857923,-5.7430314734999515
24,2.4284735986793473,-5.676010241480683
25,2.4909734118453453,-5.609349946424432
26,2.5534730364987857,-5.54265323470924
27,2.6159732899405026,-5.4759496418617
28,2.6784731046609327,-5.409024635746198
29,2.7409736434787164,-5.341951560673007
30,2.8034732839257965,-5.27607867964119
31,2.865973366014821,-5.209603082169834
32,2.9284742627828946,-5.142427737227462
33,2.990974168791877,-5.075283073596611
34,3.0534726061696364,-5.007942864455605
35,3.115974146214308,-4.939146991327476
36,3.1784727090066447,-4.869627853417135
37,3.2409725843029773,-4.799076348320526
38,3.303473939343112,-4.728928194423025
39,3.365973801857923,-4.656897991407551
40,3.4284735986793473,-4.583438215594387
41,3.4909734118453453,-4.509428018571442
42,3.5534730364987857,-4.435169862938722
43,3.615973289940503,-4.3576093843020205
44,3.6784731046609327,-4.279378271930277
45,3.7409736434787164,-4.19892094006502
46,3.803473283925797,-4.117960545906387
47,3.865973366014821,-4.03717501796993
48,3.9284742627828946,-3.953859297193835
49,3.990974168791877,-3.8709999661017416
50,4.0534726061696364,-3.788765679923835
51,4.115974146214308,-3.702736741854998
52,4.178472709006645,-3.6196722558449292
53,4.240972584302977,-3.5338871626922024
54,4.303473939343112,-3.4517083484761617
55,4.3659738018579235,-3.371192430390568
56,4.428473598679347,-3.287135406668102
57,4.490973411845345,-3.2112062834094717
58,4.553473036498786,-3.138981413961835
59,4.615973289940503,-3.059036549317401
60,4.678473104660933,-2.991384696015033
61,4.740973643478717,-2.9161923956774363
62,4.803473283925797,-2.856944387908529
63,4.865973366014821,-2.806670802868738
64,4.928474262782895,-2.738939687767616
65,4.990974168791877,-2.6993538026390698
66,5.0534726061696364,-2.6752814076943965
67,5.115974146214308,-2.6173990751133727
68,5.178472709006645,-2.610162855707709
69,5.240972584302978,-2.561781618834825
70,5.303473939343112,-2.577050326115591
71,5.3659738018579235,-2.618690328452427
72,5.428473598679347,-2.581408992132474
73,5.490973411845345,-2.650131420930358
74,5.553473036498786,-2.7628516152467646
75,5.615973289940503,-2.734527043268698
76,5.678473104660933,-2.8874157363322803
77,5.740973643478716,-2.8682109207813005
78,5.803473283925797,-3.0718713764014445
79,5.865973366014821,-3.33920660970063
80,5.928474262782895,-3.317054244204654
81,5.990974168791877,-3.6494491853459023
82,6.0534726061696364,-4.0634735198824
83,6.115974146214308,-4.039301727403061
84,6.178472709006645,-4.530035790432974
85,6.240972584302978,-4.497541574941002
86,6.303473939343112,-5.050540252571357
87,6.3659738018579235,-5.765408576075534
88,6.428473598679347,-5.720900966343887
89,6.490973411845345,-6.560426989114845
90,6.553473036498786,-7.6605462256697265
91,6.615973289940503,-7.582783056294002
92,6.678473104660933,-8.991594823290013
93,6.740973643478717,-9.122012406460758
94,6.803473283925797,-11.169184207852949
95,6.865973366014821,-16.04706370392213
96,6.928474262782895,-16.102638805193894
97,6.990974168791877,-18.13040872076359
98,7.0534726061696364,-30.4426306722305
99,7.115974146214308,-31.828180713268786
100,7.178472709006645,-35.463951809422895
101,7.240972584302977,-44.010108766215986
102,7.303473939343112,-56.28918081050457
103,7.3659738018579235,-77.06579091845249
104,7.428473598679347,-inf
105,7.490973411845345,-inf
106,7.553473036498786,-inf
107,7.615973289940503,-inf
108,7.678473104660933,-inf
109,7.740973643478717,-inf
110,7.803473283925797,-inf
111,7.865973366014821,-inf
