,epoch,temp1,temp1-,temp1+,temp2,temp2-,temp2+,scale1,scale1-,scale1+,scale2,scale2-,scale2+,av,av-,av+
0,0,13525.8941,279.8941,277.1059,1504.71671,336.01671,859.38329,9.26E+022,4.751E+021,4.907E+021,1.15E+020,7.2237E+019,8.23E+019,0.450232,0.14288103,0.13539727
1,1,11730.7589,682.708900000001,662.631099999999,1762.35471,123.53977,121.23407,2.28E+023,3.75993E+022,4.09793E+022,9.02E+019,1.488565E+019,1.75468E+019,,,
2,2,10230.1656,1644.5796,2373.4344,2237.028,462.23401,401.92399,2.98E+023,1.310035E+023,4.52E+23,5.16E+020,3.69E+020,6.37E+020,,,
