,optical_temp,optical_temp_err,infrared_temp,infrared_temp_err,optical_radius,optical_radius_err,infrared_radius,infrared_radius_err,optical_luminosity,optical_luminosity_err,infrared_luminosity,infrared_luminosity_err,total_luminosity,total_luminosity_err
58710.0,13577.948542710392,399.326873365775,1424.96767385238,176.40777552191807,6499705926792575.0,259226020661539.7,2.6423609788064582e+17,5.741205545232914e+16,1.0231649402291326e+45,1.2040894765789107e+44,2.0512847163747617e+44,1.034076858536581e+44,1.2282934118666088e+45,1.5871819104844155e+44
59068.0,12630.505515801742,513.4579273056545,1725.9573843165074,73.17805193316008,3836564870680925.0,281110917240091.06,2.7917361989846723e+17,2.452065524663906e+16,2.669252288902453e+44,4.3498923162310586e+43,4.92822616003506e+44,8.392499261055701e+43,7.597478448937513e+44,9.452809477061648e+43
59245.5,12884.088545902237,5954.360599156386,2365.309252620251,457.07845414790245,2614531717002207.5,1747519077283003.5,9.27600406724335e+16,4.181625515777078e+16,1.342221630343152e+44,2.755842443589538e+44,1.91908930043635e+44,1.675968345269989e+44,3.2613109307795023e+44,3.225451513856096e+44
