,epoch,temp1,temp1-,temp1+,temp2,temp2-,temp2+,scale1,scale1-,scale1+,scale2,scale2-,scale2+,av,av+,av-
0,0,13934.9632,1144.9632,1237.0368,1404.02798,254.52798,322.97202,1.51E+023,9.29E+021,9.52999999999999E+021,7.57E+19,1.41426E+020,1.89E+019,0.33361025,0.13755975,0.18636025
1,1,12453.8655,625.8655,614.1345,1730.47739,70.6773900000001,70.4226100000001,3.81E+023,5.244E+022,5.679E+022,7.37E+019,1.1472E+019,1.3433E+019,,,
2,2,12778.7889,2968.9889,10020.2111,2289.2307,435.1307,394.6693,8.19E+023,4.556E+023,2.58144E+024,5.31E+020,3.58E+020,6.3649E+020,,,
