temp1,temp1_chisq,temp2,temp2_chisq,scale1,scale1_chisq,scale2,scale2_chisq
,,,,,,,
11600,16.0641035328945,1600,17.5670158364676,3.00E+23,16.7184723901871,,
11800,15.3069032152864,1650,15.509773726034,3.30E+23,15.1645692999594,5.00E+19,19.268732491051
12000,14.744909454451,1660,15.2105277743856,3.50E+23,14.5567157465349,6.00E+19,15.6909332007601
12453.8655,14.2154356580472,1680,14.7282241818287,3.70E+23,14.2577184204074,6.20E+19,15.2638905301563
13000,15.0043016513488,1730.47739,14.2154356580472,3.81E+23,14.2154356580472,6.50E+19,14.7736136957821
13100,15.3225402131783,1800,15.187300424243,4.00E+23,14.3321252403424,7.00E+19,14.3111158278856
13200,15.6954205165311,1850,17.0730496646956,4.20E+23,14.695932835293,7.37E+19,14.2154356580472
13400,16.6061741330283,1900,19.9084751586263,4.40E+23,15.2856285447005,8.50E+19,14.9345993734751
14000,20.6688793442047,,,4.50E+23,15.658810625244,8.60E+19,15.0578581928175
,,,,4.60E+23,16.0809678117798,9.00E+19,15.6288521144081
