obsmjd,J_mag_kron,J_mag_kron_err,J_mag_iso,J_mag_iso_AB,J_mag_iso_err,J_mag_aper_3,J_mag_aper_3_err,J_refstar_mag_aper_3,J_refstar_mag_iso,J_refstar_mag_kron,J_mag_aper_5,J_mag_aper_5_err,J_refstar_mag_aper_5,J_mag_aper_7,J_mag_aper_7_err,J_refstar_mag_aper_7,J_mag_aper_9,J_mag_aper_9_err,J_refstar_mag_aper_9,H_mag_kron,H_mag_kron_err,H_mag_iso,H_mag_iso_AB,H_mag_iso_err,H_mag_aper_3,H_mag_aper_3_err,H_refstar_mag_aper_3,H_refstar_mag_iso,H_refstar_mag_kron,H_mag_aper_5,H_mag_aper_5_err,H_refstar_mag_aper_5,H_mag_aper_7,H_mag_aper_7_err,H_refstar_mag_aper_7,H_mag_aper_9,H_mag_aper_9_err,H_refstar_mag_aper_9,Ks_mag_kron,Ks_mag_kron_err,Ks_mag_iso,Ks_mag_iso_AB,Ks_mag_iso_err,Ks_mag_aper_3,Ks_mag_aper_3_err,Ks_refstar_mag_aper_3,Ks_refstar_mag_iso,Ks_refstar_mag_kron,Ks_mag_aper_5,Ks_mag_aper_5_err,Ks_refstar_mag_aper_5,Ks_mag_aper_7,Ks_mag_aper_7_err,Ks_refstar_mag_aper_7,Ks_mag_aper_9,Ks_mag_aper_9_err,Ks_refstar_mag_aper_9,H_mag_galfit,J_mag_galfit,Ks_mag_galfit
59031,16.5645,0.128330199095926,16.606,17.516,0.128237436031761,18.0192,0.120170545476003,16.3779,15.6767,15.6974,17.5098,0.047275892376559,15.988,17.2495,0.05224949760524,15.8361,17.106,0.073199453549873,15.7769,15.6092,0.065007384195951,15.6656,17.0556,0.064643715858543,17.0204,0.067407417989417,15.9167,15.0484,15.0512,16.4492,0.062270699369768,15.4342,16.1601,0.06228009312774,15.2309,16.021,0.063324244961942,15.1524,14.7578,0.085496432674118,14.7725,16.6225,0.085404273897739,15.8173,0.086188688352939,15.6586,14.85,14.8413,15.326,0.082146271978709,15.1956,15.1058,0.08117320986631,15.0104,15.0039,0.079227520471109,14.9368,15.8532,16.7985,14.892
59121,16.5332,0.066154062611453,16.894,17.804,0.063192167236138,18.5883,0.07564390259631,16.9038,15.6444,15.6132,18.1746,0.056269441084838,16.5074,17.8056,0.054050069380159,16.2044,17.5482,0.055538815255639,16.0094,15.6397,0.07383935265155,15.9001,17.2901,0.071695536820642,17.5572,0.096254298605309,16.394,15.058,15.0329,17.1369,0.072506620387383,15.992,16.7845,0.066892749980846,15.6699,16.5211,0.066641503584478,15.4574,14.8281,0.08705423596816,14.9808,16.8308,0.086003546438505,16.3951,0.108604603953976,16.0886,14.8806,14.8403,15.9346,0.086003546438505,15.6372,15.6055,0.081840637827427,15.3303,15.3789,0.082802475808396,15.1331,15.7761,16.7052,14.8869
59249,16.7769,0.068703420584422,17.1248,18.0348,0.065084867672909,18.7384,0.077603157152271,16.71,15.6488,15.6347,18.2736,0.043566041821584,16.3163,17.8936,0.041917657377292,16.0428,17.6337,0.05907148212124,15.8832,15.788,0.072237455658405,16.1999,17.5899,0.06741987837426,17.6985,0.105981177574133,16.1668,15.0722,15.0425,17.243,0.076969864232698,15.7809,16.8504,0.068277448692815,15.4851,16.6074,0.06809618197814,15.3082,14.9818,0.07406895436011,15.1758,17.0258,0.072367119605523,16.6056,0.065860762218486,15.9363,14.8523,14.8109,16.2013,0.066428081411403,15.5503,15.8542,0.063150613615388,15.2541,15.6291,0.06706422295084,15.0675,15.978,16.9603,15.132
