,band,telescope,obsmjd,mag,mag_err,alert,Unnamed: 0
35,UVW2,Swift,58678.2696153778,20.234861802357543,0.1286,True,15.0
36,V,Swift,58678.27088990901,18.55046663980956,0.2022,True,16.0
37,UVM2,Swift,58678.2726693503,20.036049319110116,0.1063,True,17.0
38,U,Swift,58683.7623978765,18.85716904342988,0.1905,True,18.0
39,B,Swift,58683.7627717699,18.400963415200906,0.1923,True,19.0
40,UVW2,Swift,58683.7637992092,19.97057608606911,0.1717,True,20.0
41,V,Swift,58683.764813688605,18.59308706836853,0.3139,True,21.0
42,UVM2,Swift,58683.7660620427,19.5657182078221,0.1544,True,22.0
43,UVW1,Swift,58683.830723323896,19.34154533287071,0.106,True,23.0
44,UVW1,Swift,58688.4083206081,19.43353463375501,0.1531,True,24.0
45,U,Swift,58688.4092884474,18.57097955956196,0.148,True,25.0
46,B,Swift,58688.4098027423,18.492517187147957,0.1764,True,26.0
47,UVW2,Swift,58688.4112475566,19.76528024867304,0.1387,True,27.0
48,V,Swift,58688.412679154,18.9154023666188,0.3,True,28.0
49,UVM2,Swift,58688.4146820628,19.763228951865862,0.1321,True,29.0
50,UVW1,Swift,58693.6874959753,19.134972010487893,0.0878,True,30.0
51,U,Swift,58693.6892163963,18.71952056029371,0.0987,True,31.0
52,B,Swift,58693.6899205749,18.399667493209915,0.1039,True,32.0
53,UVW2,Swift,58693.6912134308,19.82391174771797,0.0973,True,33.0
54,V,Swift,58693.6939606131,18.36934006549977,0.1491,True,34.0
55,UVM2,Swift,58693.695510137804,19.539740970973035,0.083,True,35.0
56,UVW1,Swift,58705.7479276159,19.051280317681137,0.1044,True,36.0
57,U,Swift,58705.7495035445,18.54214048843552,0.1138,True,37.0
58,B,Swift,58705.7503166473,18.33679780914536,0.1248,True,38.0
59,UVW2,Swift,58705.7526763384,19.807604683914423,0.1155,True,39.0
60,V,Swift,58705.7550273459,18.11510888890957,0.1724,True,40.0
61,UVM2,Swift,58705.7585004806,19.580827770270048,0.0993,True,41.0
62,UVW1,Swift,58707.269841593705,19.179619984228594,0.0973,True,42.0
63,U,Swift,58707.2719360432,18.588256933808903,0.1027,True,43.0
64,B,Swift,58707.273011561,18.31766691348414,0.1083,True,44.0
65,UVW2,Swift,58707.2761364686,19.81255274696645,0.1047,True,45.0
66,V,Swift,58707.27925218269,18.637629038866415,0.1825,True,46.0
