,band,telescope,obsmjd,mag,mag_err,alert,Unnamed: 0
364,ZTF_i,P48,58703.16366900001,17.905799339196456,0.0224705042442339,False,
365,ZTF_r,P48,58703.1685532,18.149315998735062,0.031078053665889,False,
366,ZTF_g,P48,58703.1986458,18.188387162973783,0.0206938432167412,False,
367,ZTF_g,P48,58705.25407409999,18.11419613726172,0.0200327857550763,False,
368,ZTF_g,P48,58708.1516782,18.115381763298934,0.0267205710579981,False,
369,ZTF_g,P48,58708.17195599999,18.230762352539028,0.024645966388261,False,
370,ZTF_g,P48,58708.1728819,18.144664236663527,0.0261632049355602,False,
371,ZTF_g,P48,58708.3500347,18.222746999778646,0.0568351651654185,False,
372,ZTF_g,P48,58709.1699769,18.208541028100196,0.0248490492606178,False,
373,ZTF_r,P48,58709.2565972,18.011365465889014,0.0213245847362902,False,
374,ZTF_i,P48,58710.232708300005,17.83976668274986,0.0286147564013396,False,
375,ZTF_g,P48,58711.1488079,18.162032643267068,0.0237514831919622,False,
376,ZTF_g,P48,58711.2210532,18.208965530648733,0.0252493240151633,False,
377,ZTF_g,P48,58711.2402199,18.25520012536212,0.0284342287751328,False,
378,ZTF_r,P48,58711.2843171,18.09022062185502,0.0285464320933709,False,
379,ZTF_r,P48,58711.31094909999,18.056795603174297,0.0313686125277438,False,
380,ZTF_g,P48,58712.1475463,18.22851101183019,0.0200513127532069,False,
381,ZTF_g,P48,58712.17310190001,18.233586818007183,0.0226631581792287,False,
382,ZTF_g,P48,58712.1903935,18.19735646405161,0.0281581006070808,False,
383,ZTF_g,P48,58713.2279167,18.544089292969996,0.1862407337158574,False,
384,ZTF_r,P48,58713.23614580001,18.03383998902469,0.0395241034942158,False,
385,ZTF_r,P48,58714.1457407,18.022914582289257,0.014646712554055,False,
386,ZTF_g,P48,58714.149838,18.23214781076882,0.0183704766711828,False,
387,ZTF_g,P48,58716.185509300005,18.260890486532915,0.012377749671159,False,
388,ZTF_g,P48,58716.2646412,18.26417310146532,0.0298538134115308,False,
389,ZTF_g,P48,58718.1508796,18.30338596350289,0.0150113630662129,False,
390,ZTF_g,P48,58718.1743981,18.25522732520656,0.0120011151766406,False,
391,ZTF_g,P48,58718.1753241,18.259698239682635,0.012975274749883,False,
392,ZTF_g,P48,58718.2672106,18.25261695616396,0.0136373059223778,False,
393,ZTF_i,P48,58719.163125,17.95153080003359,0.0184488330474169,False,
394,ZTF_r,P48,58724.1643287,18.13918926627442,0.0121095848293423,False,
395,ZTF_g,P48,58724.1846528,18.37992721446122,0.0126806760548193,False,
396,ZTF_g,P48,58725.16570599999,18.372594660345705,0.0240892388109561,False,
397,ZTF_g,P48,58725.1723264,18.394108838533445,0.0207044989278867,False,
398,ZTF_i,P48,58725.2294097,17.933547298830646,0.0185506324967212,False,
399,ZTF_r,P48,58725.2375347,18.170751587062256,0.0156239997665842,False,
400,ZTF_g,P48,58727.14925930001,18.412225453517603,0.016714546465714,False,
401,ZTF_g,P48,58727.151076400005,18.34607948606372,0.0139956362709055,False,
402,ZTF_g,P48,58727.1702778,18.4233350700051,0.0152578363773789,False,
403,ZTF_g,P48,58728.1513079,18.450118253048164,0.0155046873488069,False,
404,ZTF_r,P48,58728.205162,18.147329238461587,0.0155760442245218,False,
405,ZTF_r,P48,58728.2348495,18.30157892292496,0.0219417530688815,False,
406,ZTF_g,P48,58729.13332180001,18.490619010824247,0.07994004966451,False,
407,ZTF_g,P48,58732.1433449,18.43361032223312,0.0226415079760049,False,
408,ZTF_g,P48,58732.1479745,18.499918686397503,0.0248055710642608,False,
409,ZTF_g,P48,58732.1691435,18.50068334614757,0.0251590664272209,False,
410,ZTF_r,P48,58732.2116898,18.23357074195436,0.027747820937665,False,
411,ZTF_i,P48,58733.1451736,18.039503229069663,0.0203513141267957,False,
412,ZTF_g,P48,58733.1693519,18.472754437879807,0.0265931137130879,False,
413,ZTF_g,P48,58733.2087037,18.49866412650025,0.0305827291810214,False,
414,ZTF_r,P48,58733.248020800005,18.279722533056628,0.0294405612833604,False,
415,ZTF_r,P48,58734.1445949,18.29861273803412,0.0239691467114666,False,
416,ZTF_g,P48,58734.1862153,18.51749104261096,0.0395495578423963,False,
417,ZTF_g,P48,58734.208588,18.510434738499384,0.0385534995386962,False,
418,ZTF_g,P48,58737.129456,18.592747241568365,0.0458182235634294,False,
419,ZTF_g,P48,58737.1303819,18.559085062203167,0.0395115528906898,False,
420,ZTF_r,P48,58737.1868287,18.332103567970464,0.0363928532947558,False,
421,ZTF_g,P48,58738.1211806,18.575347081858645,0.0578051498594878,False,
422,ZTF_g,P48,58738.1336574,18.51871272874604,0.0408048743938765,False,
423,ZTF_g,P48,58739.1212269,18.557130099868807,0.0521969575392642,False,
424,ZTF_g,P48,58740.1215972,18.543704918837207,0.0485045368254326,False,
425,ZTF_g,P48,58740.1226273,18.48055426077201,0.0415623350090052,False,
426,ZTF_g,P48,58740.145706,18.529144122882208,0.0473239063803241,False,
427,ZTF_r,P48,58740.2630787,18.331258357809613,0.0658381199644645,False,
428,ZTF_r,P48,58740.26398150001,18.40077935905693,0.0759672838885993,False,
429,ZTF_g,P48,58741.1218519,18.572633648756568,0.0346717190266801,False,
430,ZTF_g,P48,58741.130208300005,18.54105317830029,0.0353418706444473,False,
431,ZTF_r,P48,58742.120451400006,18.20688753867488,0.0417195627497679,False,
432,ZTF_g,P48,58742.1456829,18.59785753041291,0.0471341186671801,False,
433,ZTF_g,P48,58743.120451400006,18.58151676750729,0.0261635596221334,False,
434,ZTF_g,P48,58743.1219097,18.556496299294707,0.0239244169513893,False,
435,ZTF_g,P48,58743.1448727,18.598751219010484,0.021545773840562,False,
436,ZTF_g,P48,58745.1319097,18.6298626149736,0.0190717582902506,False,
437,ZTF_i,P48,58747.1125694,18.11022053592224,0.0568475192599435,False,
438,ZTF_g,P48,58747.13054400001,18.63798064726613,0.0218617465258622,False,
439,ZTF_g,P48,58750.1359606,18.634289112498223,0.031003944075302,False,
440,ZTF_i,P48,58751.1200347,18.193547730403917,0.032592375075736,False,
441,ZTF_g,P48,58758.1289468,18.733266881430534,0.0280616864304759,False,
442,ZTF_r,P48,58761.1200116,18.504087355017347,0.0258639148814961,False,
443,ZTF_g,P48,58764.1999769,18.66352671194609,0.0680707948440332,False,
444,ZTF_g,P48,58771.11017359999,18.715349345117023,0.0571805860501657,False,
445,ZTF_r,P48,58775.1026042,18.50009739177825,0.0240835445862154,False,
446,ZTF_g,P48,58775.1121528,18.73990035071078,0.0282789643418038,False,
447,ZTF_g,P48,58778.1221644,18.803094393018227,0.0408168713982158,False,
448,ZTF_r,P48,58781.09067130001,18.65621566050412,0.0751401496037894,False,
449,ZTF_g,P48,58781.11216440001,18.85220576486051,0.0684284816934622,False,
450,ZTF_g,P48,58785.11501159999,18.756474610144977,0.0393209232089827,False,
451,ZTF_g,P48,58789.1253241,18.90098088384248,0.0883583231895147,False,
452,ZTF_r,P48,58792.1100694,18.53859253407894,0.0588695105221532,False,
453,ZTF_r,P48,58795.0777431,18.523651493726224,0.0510812673029077,False,
454,ZTF_g,P48,58795.10979169999,18.768580357246652,0.086235079574763,False,
455,ZTF_g,P48,58798.0992477,18.87596779444262,0.1279087491412308,False,
456,ZTF_g,P48,58851.5497106,18.90906283108325,0.172532195133442,False,
457,ZTF_g,P48,58854.5586806,18.909786584220104,0.0857863545330555,False,
458,ZTF_r,P48,58873.5350579,18.6377555480803,0.0232670149565209,False,
459,ZTF_g,P48,58876.53627309999,18.886885101275208,0.0244245233123503,False,
460,ZTF_r,P48,58876.5745602,18.621430005945108,0.0324078739986216,False,
461,ZTF_g,P48,58879.5046412,18.909455057014576,0.0815206001195843,False,
462,ZTF_r,P48,58879.5409375,18.629736808774567,0.0737286824621133,False,
463,ZTF_g,P48,58885.46679400001,18.94619606817493,0.1228505696703829,False,
464,ZTF_r,P48,58885.5435301,18.61000273384172,0.0246087229251735,False,
465,ZTF_r,P48,58888.5102546,18.88147939491077,0.1359903910662847,False,
466,ZTF_g,P48,58891.4746644,18.910179654208253,0.0808609648005582,False,
467,ZTF_r,P48,58894.5408565,18.560798854885853,0.0296362870460668,False,
468,ZTF_g,P48,58894.5593056,18.791787448727305,0.0358137911024549,False,
469,ZTF_r,P48,58898.5237616,18.55861401451501,0.019047342576204,False,
470,ZTF_g,P48,58898.5616551,18.8824110741736,0.0355622674101525,False,
471,ZTF_r,P48,58904.5242245,18.642346045749637,0.0263885959391646,False,
472,ZTF_g,P48,58904.55254630001,18.87320557630666,0.0426617116884978,False,
473,ZTF_r,P48,58908.51386569999,18.6230896839107,0.0201839924956663,False,
474,ZTF_r,P48,58911.50379630001,18.771187092275134,0.0429831433513277,False,
475,ZTF_g,P48,58911.5374306,18.94103949814512,0.0334581632453502,False,
476,ZTF_g,P48,58914.46405090001,18.87846193981735,0.0367531511449473,False,
477,ZTF_r,P48,58914.53598380001,18.69199255106145,0.0196840683943386,False,
478,ZTF_g,P48,58936.4984375,19.1162993291605,0.0286756844701457,False,
479,ZTF_r,P48,58936.5070023,18.75939320088021,0.0226121050322478,False,
480,ZTF_g,P48,58939.4655787,18.625660412279053,0.1317245252301814,False,
481,ZTF_g,P48,58943.4437153,19.109046388924288,0.0577906550980782,False,
482,ZTF_r,P48,58943.4814583,18.78790210452037,0.0267031806582696,False,
483,ZTF_r,P48,58953.45651619999,18.872272117772017,0.0378264128470574,False,
484,ZTF_i,P48,58953.4600694,18.544486277917816,0.0451562566534493,False,
485,ZTF_g,P48,58954.4326157,19.1472879309194,0.0423501652711852,False,
486,ZTF_r,P48,58956.4854514,19.19128775725168,0.095467683928033,False,
487,ZTF_r,P48,58961.457963,18.87995672295204,0.0342226368021333,False,
488,ZTF_i,P48,58962.433287,18.58663084991642,0.037658232697534,False,
489,ZTF_g,P48,58964.3824537,19.193180634653057,0.0261962636983447,False,
490,ZTF_r,P48,58964.4227315,18.85858410486697,0.0218495110183409,False,
491,ZTF_i,P48,58966.4845023,18.52158341710457,0.0248146212428815,False,
492,ZTF_r,P48,58967.3830903,18.95443489368835,0.0256113535530071,False,
493,ZTF_g,P48,58967.4362847,19.303910707518256,0.0301687066669038,False,
494,ZTF_r,P48,58970.4143056,19.039920811625,0.0256751405232407,False,
495,ZTF_g,P48,58970.464537,19.28632091049707,0.0236345491186497,False,
496,ZTF_i,P48,58971.4614815,18.66381316404758,0.0317572612923951,False,
497,ZTF_r,P48,58973.3539815,18.9292804072622,0.0455739558652682,False,
498,ZTF_g,P48,58973.4641898,19.25635614406168,0.039322996739362,False,
499,ZTF_i,P48,58976.4196528,18.618062186157992,0.0618827421857147,False,
500,ZTF_r,P48,58977.39866900001,19.05160459028773,0.1274844168910713,False,
501,ZTF_r,P48,58980.31435190001,19.003559426737745,0.0385201290873661,False,
502,ZTF_i,P48,58980.37601849999,18.63994019540379,0.0420343675400439,False,
503,ZTF_g,P48,58980.3985764,19.314312681327905,0.0704883787701878,False,
504,ZTF_r,P48,58984.4020602,18.993563493111346,0.0227681733106669,False,
505,ZTF_r,P48,58985.37811340001,18.985146013117227,0.0261622678024411,False,
506,ZTF_g,P48,58985.42107640001,19.431282955676345,0.0348797445023478,False,
507,ZTF_r,P48,58986.295196800005,19.021060976014677,0.0246013779637648,False,
508,ZTF_i,P48,58986.333912,18.585997440401783,0.0258264320675971,False,
509,ZTF_g,P48,58986.3966898,19.27375186470004,0.0268445572899946,False,
510,ZTF_r,P48,58987.3314699,19.030004185465074,0.0215476430695225,False,
511,ZTF_g,P48,58987.4299537,19.41492725048835,0.028189272647411,False,
512,ZTF_r,P48,58991.2730556,18.96952545422199,0.0266197639230717,False,
513,ZTF_g,P48,58991.3187037,19.31804082808309,0.0306442468022977,False,
514,ZTF_i,P48,58991.3358681,18.620917523848483,0.0378801575752663,False,
515,ZTF_r,P48,58992.2940394,18.979261919452767,0.0239242488963182,False,
516,ZTF_g,P48,58992.3329745,19.34379182599276,0.038701532976638,False,
517,ZTF_g,P48,58994.4150231,19.33272977308729,0.0328866377690296,False,
518,ZTF_r,P48,58995.2751042,18.984725980104614,0.0237115721363658,False,
519,ZTF_g,P48,58995.3201389,19.37958644670432,0.0312305067905636,False,
520,ZTF_r,P48,58996.3102894,19.074799669086865,0.0261378521539752,False,
521,ZTF_r,P48,58997.29861109999,19.0680295856895,0.026418340149514,False,
522,ZTF_i,P48,58997.3164583,18.61995213721357,0.0300785766015308,False,
523,ZTF_g,P48,58997.3830787,19.41935698709514,0.0284272846159867,False,
524,ZTF_g,P48,58998.3626042,19.35903381797023,0.0274747223711784,False,
525,ZTF_r,P48,58999.3367245,19.108658996850465,0.0349056226449298,False,
526,ZTF_g,P48,58999.4010069,19.40222290669585,0.0413575671875695,False,
527,ZTF_r,P48,59000.3339931,19.44209767351956,0.0850714022612375,False,
528,ZTF_r,P48,59000.3942824,19.049571484856244,0.0615677453861913,False,
529,ZTF_g,P48,59000.4162616,19.14449463501538,0.1958706137838084,False,
530,ZTF_r,P48,59001.2934028,19.284870503759013,0.0172878808741652,False,
531,ZTF_i,P48,59001.3316898,18.63203628548713,0.0325319120107541,False,
532,ZTF_g,P48,59001.393171300006,19.359574702140545,0.0440571095862819,False,
533,ZTF_g,P48,59004.22133099999,19.22650362079263,0.0930571200127817,False,
534,ZTF_r,P48,59004.287488400005,19.072198743035838,0.0664458813064372,False,
535,ZTF_g,P48,59005.22480319999,19.308420715620155,0.114685802437548,False,
536,ZTF_i,P48,59009.3165394,18.74979624183501,0.0527481699549343,False,
537,ZTF_r,P48,59009.362233800006,19.187333380646677,0.0634750623627462,False,
538,ZTF_g,P48,59012.3125347,19.444151009028516,0.0298426221021697,False,
539,ZTF_g,P48,59015.3097222,19.555902500675348,0.0364607179056032,False,
540,ZTF_r,P48,59015.3175694,19.11456039223119,0.0271132798398764,False,
541,ZTF_i,P48,59015.372581,18.790920137231904,0.0310366411167293,False,
542,ZTF_g,P48,59018.3388773,19.556209047876155,0.0327777764869373,False,
543,ZTF_i,P48,59019.2974074,18.86889781381639,0.0366394795449852,False,
544,ZTF_r,P48,59024.24241900001,19.0664947876461,0.0290963969527384,False,
545,ZTF_g,P48,59024.2905903,19.446119959744152,0.1033426170069294,False,
546,ZTF_i,P48,59024.31988430001,18.74544043316176,0.0446780967379779,False,
547,ZTF_g,P48,59027.2363773,19.4926890275761,0.0515498298203394,False,
548,ZTF_r,P48,59027.28822919999,19.091632892038422,0.0302419556408595,False,
549,ZTF_i,P48,59028.31464119999,18.824632692982863,0.0404278020168824,False,
550,ZTF_g,P48,59030.35054400001,19.553726445071156,0.0830955613182425,False,
551,ZTF_i,P48,59032.2722222,18.8298257605742,0.0432342845423394,False,
552,ZTF_g,P48,59033.21054400001,19.44249093875959,0.1393261073458562,False,
553,ZTF_r,P48,59033.3322569,19.32925988027544,0.0810748699391305,False,
554,ZTF_g,P48,59034.22851849999,19.59144401469081,0.1270809935470447,False,
555,ZTF_r,P48,59036.27625,19.21295857635008,0.0635965669546782,False,
556,ZTF_i,P48,59036.3256829,18.847361660829574,0.055580017934489,False,
557,ZTF_g,P48,59039.191169000005,19.555988977633373,0.0357224892414736,False,
558,ZTF_r,P48,59039.2341898,19.27700388015869,0.028977843312956,False,
559,ZTF_r,P48,59039.3095023,19.247704957224457,0.0438108914786227,False,
560,ZTF_i,P48,59041.17126159999,18.86430091514793,0.0484472488902666,False,
561,ZTF_r,P48,59042.2493171,19.09442703404529,0.0247829606438897,False,
562,ZTF_g,P48,59042.3012847,19.53685804908129,0.0394650099061387,False,
563,ZTF_r,P48,59045.2293056,19.187322863158556,0.0285631483825955,False,
564,ZTF_g,P48,59045.26151619999,19.53457366806309,0.0332504669685357,False,
565,ZTF_i,P48,59045.3078241,18.87026751422485,0.0385630256623344,False,
566,ZTF_r,P48,59048.2473727,19.241144031936653,0.0300909075206118,False,
567,ZTF_i,P48,59049.26747690001,18.82458432659213,0.0281275966574837,False,
568,ZTF_g,P48,59051.312175900006,19.566899576376773,0.0419182001481078,False,
569,ZTF_i,P48,59053.2529051,18.8536271677459,0.0321045077424781,False,
570,ZTF_g,P48,59054.289919,19.57209025108497,0.0467542827573075,False,
571,ZTF_r,P48,59054.3521065,19.18671250580096,0.0386429080918714,False,
572,ZTF_g,P48,59057.2694676,19.66170560621172,0.0543923707850538,False,
573,ZTF_r,P48,59057.3327894,19.268082628615943,0.0411337049922415,False,
574,ZTF_i,P48,59059.2527315,19.023605062926656,0.0588665470404089,False,
575,ZTF_r,P48,59063.18738430001,19.35795558598113,0.0768661633985236,False,
576,ZTF_i,P48,59063.2108102,18.955483755562405,0.0566074429171354,False,
577,ZTF_g,P48,59063.23282409999,19.81288457052576,0.1471356031822329,False,
578,ZTF_g,P48,59066.19376159999,19.833606692059075,0.0959826580537387,False,
579,ZTF_r,P48,59066.2382523,19.36765640024417,0.0625794220912363,False,
580,ZTF_i,P48,59067.23210650001,19.026675122331604,0.0513271357526733,False,
581,ZTF_g,P48,59069.1770486,19.747709428735757,0.0505632516491438,False,
582,ZTF_r,P48,59069.21670140001,19.455781181865987,0.0389166809439507,False,
583,ZTF_r,P48,59072.1925926,19.2861753944825,0.0376112651271315,False,
584,ZTF_g,P48,59072.2274074,19.590486575984617,0.0470320711705058,False,
585,ZTF_i,P48,59072.2597917,18.89754144465898,0.039698958240773,False,
586,ZTF_g,P48,59075.1929977,19.671592060713635,0.0527000590483161,False,
587,ZTF_r,P48,59075.2159375,19.39862500348398,0.0524060051258432,False,
588,ZTF_i,P48,59076.2272917,18.89022790955916,0.0396137657347061,False,
589,ZTF_r,P48,59078.1847569,19.410312015370383,0.0366334651810017,False,
590,ZTF_g,P48,59078.2080556,19.747687877590167,0.0470759970429845,False,
591,ZTF_i,P48,59080.2476852,19.049395691238196,0.0529415566558097,False,
592,ZTF_r,P48,59081.2037616,19.368924831902973,0.0496239978578921,False,
593,ZTF_g,P48,59081.234664400006,19.71197418304705,0.0726569420408449,False,
594,ZTF_i,P48,59084.2153472,19.059786063298112,0.0649078202193841,False,
595,ZTF_i,P48,59088.1908796,18.9746627405124,0.065422829723854,False,
596,ZTF_i,P48,59093.2382407,19.06121885378876,0.0749403340307645,False,
597,ZTF_r,P48,59095.1549074,19.500183905455074,0.0649600951823449,False,
598,ZTF_g,P48,59095.20466440001,19.47985726601413,0.130816700960688,False,
599,ZTF_r,P48,59096.1945949,19.491256675003285,0.0652912116997624,False,
600,ZTF_i,P48,59096.2272454,19.0293096778556,0.0393017526422308,False,
601,ZTF_i,P48,59096.2435417,19.04593573999402,0.0440385648908808,False,
602,ZTF_g,P48,59097.1953588,19.69226019086979,0.1172796368808312,False,
603,ZTF_g,P48,59097.1962963,20.03447098691529,0.1471279166152329,False,
604,ZTF_i,P48,59097.2121875,19.04807845003716,0.0448235148641675,False,
605,ZTF_i,P48,59097.22716440001,18.95958789096457,0.0706913721884138,False,
606,ZTF_i,P48,59097.2479745,19.16404326970336,0.0722711977246605,False,
607,ZTF_r,P48,59098.1561227,19.64086861978192,0.0514799563990684,False,
608,ZTF_r,P48,59098.1570602,19.59710879497392,0.0508349161647887,False,
609,ZTF_g,P48,59098.20041669999,19.68171448955644,0.0854315088074252,False,
610,ZTF_i,P48,59098.24688659999,19.01227528281502,0.0532243410112376,False,
611,ZTF_i,P48,59098.2730324,19.087545824794148,0.0571887842696392,False,
612,ZTF_r,P48,59099.13197919999,19.57701948525387,0.0511479894801921,False,
613,ZTF_r,P48,59099.13291669999,19.62761761075324,0.0586575521698603,False,
614,ZTF_g,P48,59099.1653356,19.862846479121448,0.0576696257385629,False,
615,ZTF_g,P48,59099.1662731,19.86538482919046,0.0581576882503595,False,
616,ZTF_i,P48,59099.24427080001,19.06024451968904,0.0499650833953117,False,
617,ZTF_i,P48,59099.289375,19.26457460111491,0.1050418055486555,False,
618,ZTF_i,P48,59106.143669000005,18.92808648392022,0.1054364763663927,False,
619,ZTF_i,P48,59106.1599421,19.051440826216588,0.0674158736203775,False,
620,ZTF_g,P48,59106.18451390001,20.113766413316007,0.1752773174779323,False,
621,ZTF_r,P48,59106.1992708,19.774233179310908,0.1485850677329184,False,
622,ZTF_r,P48,59107.1462847,19.64253506333286,0.1133132709990001,False,
623,ZTF_g,P48,59107.17607640001,20.052016498723752,0.1966255159535348,False,
624,ZTF_i,P48,59107.2061574,19.14440044779624,0.0690728754683165,False,
625,ZTF_i,P48,59107.2189005,19.15305064337484,0.0713831404981404,False,
626,ZTF_r,P48,59107.2593866,19.219108419966854,0.1451345756442906,False,
627,ZTF_i,P48,59109.1171528,19.206759848286133,0.0626994422332938,False,
628,ZTF_r,P48,59109.1622454,19.778486483925256,0.0845874229001138,False,
629,ZTF_r,P48,59109.1683681,19.774156225893368,0.091175241833044,False,
630,ZTF_g,P48,59109.2026736,20.007646345914655,0.1135333168478738,False,
631,ZTF_g,P48,59109.2111574,19.923538975407936,0.0980063868212165,False,
632,ZTF_i,P48,59109.2688542,19.13440244162549,0.0715434707941072,False,
633,ZTF_g,P48,59110.14986109999,19.93490224469579,0.0748288486337438,False,
634,ZTF_i,P48,59110.182338,19.30311039827893,0.0775549031129259,False,
635,ZTF_i,P48,59110.183263900006,19.177809339669444,0.0468355579036958,False,
636,ZTF_i,P48,59110.20210650001,19.17941460347262,0.0711435368832585,False,
637,ZTF_g,P48,59111.1148611,19.75575778552393,0.1122044286232506,False,
638,ZTF_g,P48,59111.1540278,19.95849950170668,0.0734659377375164,False,
639,ZTF_i,P48,59111.1705671,19.14512325586081,0.0422722596941872,False,
640,ZTF_i,P48,59111.1948727,19.187535448115487,0.0457539735453616,False,
641,ZTF_r,P48,59111.2279745,19.457578842033005,0.0862541222124144,False,
642,ZTF_g,P48,59112.1391551,20.097393079367947,0.065291415687931,False,
643,ZTF_g,P48,59112.1498148,20.047035090081,0.0704222967044516,False,
644,ZTF_r,P48,59112.17135419999,19.571464761508327,0.0468851115548093,False,
645,ZTF_i,P48,59112.2236227,19.028230560669225,0.0395032295893238,False,
646,ZTF_i,P48,59112.2472569,19.061889541680326,0.0481548110617503,False,
647,ZTF_i,P48,59114.1428241,19.15623568844705,0.0417063888885541,False,
648,ZTF_i,P48,59114.1444792,19.283058355692862,0.0683728069374622,False,
649,ZTF_i,P48,59114.1588426,19.199529428786377,0.046598093079961,False,
650,ZTF_r,P48,59114.1814815,19.61049710119202,0.0862740278257571,False,
651,ZTF_g,P48,59114.20032409999,20.05295989060672,0.1049445952260214,False,
652,ZTF_g,P48,59114.2359722,19.799484998700304,0.1066208754431651,False,
653,ZTF_i,P48,59115.123321800005,19.16766383074232,0.042897149365655,False,
654,ZTF_r,P48,59115.1530093,19.62671227916665,0.0638132516272823,False,
655,ZTF_i,P48,59115.1807176,19.14949808765394,0.0451215983137036,False,
656,ZTF_g,P48,59115.2092824,19.86570661374233,0.1217336594178514,False,
657,ZTF_i,P48,59116.134294,19.07926834646032,0.0570945881340961,False,
658,ZTF_i,P48,59116.1616204,19.163658658563328,0.0545522494850696,False,
659,ZTF_r,P48,59116.19673609999,19.480685306815605,0.0883498012431614,False,
660,ZTF_g,P48,59116.21710650001,19.816306184761096,0.1394929897410581,False,
661,ZTF_r,P48,59117.110625,19.429725722589893,0.0790862454203817,False,
662,ZTF_r,P48,59117.12677080001,19.70543500879436,0.0757244738840141,False,
663,ZTF_i,P48,59117.1493056,19.25087043579446,0.0444386162570904,False,
664,ZTF_i,P48,59117.1794329,19.284481513038116,0.056069036734026,False,
665,ZTF_g,P48,59117.2159144,20.062012530281777,0.1478728670124963,False,
666,ZTF_i,P48,59118.1462037,19.257148780116992,0.0620645589092519,False,
667,ZTF_i,P48,59119.12263890001,19.24016638617785,0.0433978924303774,False,
668,ZTF_i,P48,59119.1393171,19.17573644722651,0.0427622286994945,False,
669,ZTF_r,P48,59119.1615625,19.690443559539965,0.0770916954332044,False,
670,ZTF_r,P48,59119.1777546,19.67803218982214,0.0889021831252658,False,
671,ZTF_g,P48,59119.198831,20.09865670591049,0.1807638675103845,False,
672,ZTF_g,P48,59119.208958300005,20.022312479737696,0.1955114565063243,False,
673,ZTF_i,P48,59121.1077546,19.17382638940449,0.0528647580765926,False,
674,ZTF_i,P48,59121.13763890001,19.241261697483203,0.0602075575532779,False,
675,ZTF_r,P48,59121.1584028,19.666427137066623,0.0911019402449011,False,
676,ZTF_g,P48,59121.17657409999,20.123028779558688,0.1828211780951956,False,
677,ZTF_i,P48,59122.135787,19.29588333486556,0.0932214180599281,False,
678,ZTF_g,P48,59124.1413079,19.76005349169486,0.1399388514045282,False,
679,ZTF_g,P48,59124.1422454,19.86783467309442,0.1673836821648554,False,
680,ZTF_i,P48,59124.17535880001,19.120823906207686,0.0629445873403681,False,
681,ZTF_i,P48,59124.1947801,19.34359594383292,0.0859397127720323,False,
682,ZTF_r,P48,59124.2151505,19.7296457891685,0.1950931552892032,False,
683,ZTF_g,P48,59126.19682869999,19.82987996226977,0.208979186610634,False,
684,ZTF_r,P48,59128.1413194,19.65704878917369,0.0639602293314662,False,
685,ZTF_r,P48,59128.1422569,19.61451421535028,0.0612085831096026,False,
686,ZTF_g,P48,59128.178020800005,19.675831728718578,0.1134270843053864,False,
687,ZTF_g,P48,59128.178958300006,19.88964196995103,0.138586240502513,False,
688,ZTF_i,P48,59128.202662,19.21881873330064,0.0973796662204831,False,
689,ZTF_i,P48,59128.2039352,19.22398362079051,0.0785475746733107,False,
690,ZTF_i,P48,59129.15901619999,19.413236654684454,0.0953910757927972,False,
691,ZTF_g,P48,59130.154675900005,20.14749465665984,0.0888490734021962,False,
692,ZTF_r,P48,59131.10010419999,19.7817329628542,0.170530463908471,False,
693,ZTF_g,P48,59131.1557986,20.010506930342583,0.1473719205017679,False,
694,ZTF_g,P48,59135.09960650001,20.36784902170508,0.1274705070987553,False,
695,ZTF_r,P48,59135.1669444,19.78623838424833,0.0840607210607093,False,
696,ZTF_r,P48,59137.0929861,19.64661794094612,0.0763826037342827,False,
697,ZTF_r,P48,59137.0995602,19.784577999237992,0.0673652050847674,False,
698,ZTF_g,P48,59137.14092590001,20.35713990220628,0.1348468576495897,False,
699,ZTF_g,P48,59137.14186340001,20.051088339592123,0.085102056611888,False,
700,ZTF_i,P48,59138.1631713,19.18869469058416,0.0661383603945811,False,
701,ZTF_r,P48,59139.0933449,19.8588898180867,0.0953458901051008,False,
702,ZTF_g,P48,59139.1127546,20.076368453855665,0.0883149087513197,False,
703,ZTF_i,P48,59139.1533218,19.514217933516765,0.0785222161091792,False,
704,ZTF_g,P48,59139.1744329,19.98775180374557,0.1440048218228324,False,
705,ZTF_r,P48,59141.1122454,19.80321213033517,0.1087773058574202,False,
706,ZTF_g,P48,59143.1560764,20.110455311614377,0.1149640175944959,False,
707,ZTF_r,P48,59145.10332180001,19.82474635832444,0.0702711880436334,False,
708,ZTF_g,P48,59145.1336921,20.279579759106447,0.1247768782220079,False,
709,ZTF_i,P48,59152.1303704,19.534723657331416,0.129880863206299,False,
710,ZTF_r,P48,59168.0779514,19.85486170375952,0.195409253806534,False,
711,ZTF_r,P48,59168.0921528,19.98505530503659,0.2097437468933969,False,
712,ZTF_r,P48,59172.0766898,20.02440026258816,0.1696871152747405,False,
713,ZTF_r,P48,59172.0814005,19.960364353204355,0.1371465516022765,False,
714,ZTF_r,P48,59172.0861111,19.873866109437444,0.1445223259557623,False,
715,ZTF_r,P48,59172.0908102,20.168216246292623,0.1819819631570657,False,
716,ZTF_r,P48,59174.07153940001,19.67247924590212,0.1548685924670087,False,
717,ZTF_r,P48,59174.0810417,19.70341733660738,0.1942825113176846,False,
718,ZTF_i,P48,59218.548044,19.440538717543248,0.1225131354683994,False,
719,ZTF_r,P48,59226.511331,20.041143182750982,0.1529433729148589,False,
720,ZTF_g,P48,59226.5489815,20.42297647982582,0.1419561023794386,False,
