year       	mjd         	mag_vega    	e_mag       	diff_flux_mJy	e_diff_flux_mJy
2.010167e+03	5.525791e+04	1.401554e+01	6.581692e-02	1.933398e-02	2.624781e-02
2.010664e+03	5.543919e+04	1.408179e+01	4.697753e-02	-5.697184e-03	1.811567e-02
2.014175e+03	5.672199e+04	1.403563e+01	4.759074e-02	1.158036e-02	1.905119e-02
2.014669e+03	5.690233e+04	1.400802e+01	4.308158e-02	2.226973e-02	1.781401e-02
2.015167e+03	5.708395e+04	1.407452e+01	5.691090e-02	-3.026636e-03	2.173886e-02
2.015657e+03	5.726284e+04	1.401097e+01	8.048094e-02	2.111594e-02	3.197879e-02
2.016169e+03	5.744983e+04	1.404974e+01	3.419346e-02	6.221442e-03	1.408585e-02
2.016639e+03	5.762174e+04	1.416962e+01	6.945666e-02	-3.661178e-02	2.414149e-02
2.017168e+03	5.781525e+04	1.413060e+01	5.021340e-02	-2.318705e-02	1.847403e-02
2.017626e+03	5.798236e+04	1.408687e+01	7.503062e-02	-7.554721e-03	2.793996e-02
2.018168e+03	5.818029e+04	1.414501e+01	7.785062e-02	-2.820156e-02	2.749743e-02
2.018615e+03	5.834363e+04	1.412223e+01	6.084560e-02	-2.024411e-02	2.220900e-02
2.019171e+03	5.854644e+04	1.400020e+01	8.743964e-02	2.534703e-02	3.499712e-02
2.019619e+03	5.870984e+04	1.314276e+01	1.241685e-01	5.411878e-01	1.081870e-01
2.020169e+03	5.891079e+04	1.267663e+01	7.327965e-02	1.047760e+00	9.811369e-02
2.020615e+03	5.907401e+04	1.255030e+01	8.067940e-02	1.226832e+00	1.212802e-01
