,sigma,sigma.err,ampl,ampl.err,fval,chi2,chi2dof,filename,humidity,filter,obsmjd,ccdid,amp_id,gain,readnoi,darkcur,magzp,magzpunc,magzprms,clrcoeff,clrcounc,zpclrcov,zpmed,zpavg,zprmsall,clrmed,clravg,clrrms,qid,rcid,seeing,maglim,status,filterid,fieldid,moonalt,moonillf,target_x,target_y,data_hasnan,F0,F0.err,Fratio,Fratio.err,upper_limit,mag,mag_err
0,12.448182379997576,0.2302414706409724,-87.34992435579593,139.02978795059752,4925.673777100688,625.03369140625,1.0032643521769662,ztf_20180403513692_000543_zg_c14_o.fits,59.0,ZTF g,58211.5136921,14,3,6.2,10.0,1.0,26.152959,6.74448e-05,0.049832999999999995,-0.019007,0.00022742529999999998,-0.00012034,26.139,26.142901000000002,0.049893,0.493,0.529,0.128722,4,55,6.324,18.1,1,1,543,34.4592,-0.902062,1573.1499916300988,1417.006616857186,False,28919021889.992577,1796419.4608400962,-3.020500647915183e-09,4.807554992189899e-09,18.1,99.0,99.0
1,15.638975958526485,0.4356917657318588,-462.4316576471935,174.31552020053434,5210.86128249504,623.7156372070312,1.0011486953563904,ztf_20180403522118_000543_zg_c14_o.fits,58.0,ZTF g,58211.5221181,14,3,6.2,10.0,1.0,26.227525,9.97891e-05,0.048128,-0.057441,0.0003478336,-0.00018181,26.193001000000002,26.197501000000003,0.048595,0.48700000000000004,0.523,0.11693599999999998,4,55,6.812,17.88,1,1,543,32.8798,-0.901517,1573.8340025319574,1422.893468363257,False,30974906207.527428,2846877.5375526426,-1.492923512177786e-08,5.627636907567675e-09,17.88,99.0,99.0
2,6.964661377369177,0.1941453968753842,88.30307586062851,43.91108108793328,4199.8244664608665,623.9816284179688,1.0015756475408808,ztf_20180420457384_000543_zr_c14_o.fits,68.0,ZTF_r,58228.4574306,14,3,6.2,10.0,1.0,26.15169,3.5464e-06,0.024901,0.073439,1.05622e-05,-5.86e-06,26.191999,26.192429999999998,0.027770999999999997,0.506,0.555,0.167398,4,55,3.634,20.04,1,2,543,-36.4476,0.23175500000000002,1567.3278139473907,1528.8039310037375,False,28885241308.058216,94349.45553622577,3.0570309217390646e-09,1.5201909037412308e-09,20.04,99.0,99.0
3,5.158950750068364,0.14379358755069224,9.247415404008722,27.465729659759802,3824.6135866517157,623.9349365234375,1.001500700679675,ztf_20180420483194_000543_zg_c14_o.fits,70.0,ZTF_g,58228.48324069999,14,3,6.2,10.0,1.0,26.212192,3.0475e-06,0.023282,-0.030386,9.0611e-06,-5.03e-06,26.197001,26.195334,0.023841,0.507,0.555,0.16886099999999998,4,55,2.923,20.78,1,1,543,-37.4676,0.23428400000000002,1570.7054716282873,1529.9096695965366,False,30540546207.354855,85722.76963689143,3.027914216472571e-10,8.993201848222903e-10,20.78,99.0,99.0
4,4.690309414921165,0.03948026194409561,-47.65938133871375,20.85840642271389,3705.5900498774813,625.0438842773438,1.0032807131257524,ztf_20180423482951_000543_zg_c14_o.fits,15.0,ZTF_g,58231.482986099996,14,3,6.2,10.0,1.0,26.22438,2.2409e-06,0.019861,-0.038827999999999994,6.7e-06,-3.71e-06,26.204,26.202888,0.0209,0.505,0.5539999999999999,0.167597,4,55,2.322,21.25,1,1,543,-24.5356,0.566096,1570.1303711091532,1526.024809907743,False,30885312505.591583,63745.59169204306,-1.5431082761453469e-09,6.753503439270544e-10,21.25,99.0,99.0
5,13.788233652207875,0.39122942917691533,-33.988296323485486,63.6023145584475,5053.5184990928,623.8531494140625,1.0013694212103732,ztf_20180426421157_000543_zg_c14_o.fits,34.0,ZTF_g,58234.4212963,14,3,6.2,10.0,1.0,25.36994,2.24077e-05,0.048826,-0.015088999999999998,7.08601e-05,-3.841e-05,25.361,25.361760999999998,0.048878,0.504,0.542,0.149662,4,55,2.58,18.93,1,1,543,14.4978,0.856352,1563.2638497646258,1482.6842131825204,False,14059698252.191751,290167.62925007194,-2.4174271534018935e-09,4.523732545426481e-09,18.93,99.0,99.0
6,6.828374199838778,0.1901359466069968,19.21093445227058,29.175085188592185,4174.894652316159,623.7643432617188,1.0012268752194522,ztf_20180426501262_000543_zg_c14_o.fits,42.0,ZTF_g,58234.5013079,14,3,6.2,10.0,1.0,26.171906,2.7189999999999997e-06,0.022054,-0.029189,8.0736e-06,-4.48e-06,26.156999999999996,26.155704,0.022602,0.506,0.555,0.169417,4,55,2.0140000000000002,20.62,1,1,543,-8.8279,0.8624620000000001,1575.9383098029748,1515.7199301112048,False,29428111983.174088,73696.57208776174,6.528089353219359e-10,9.914018678912562e-10,20.62,99.0,99.0
7,18.79577017161718,0.5241431343534628,-46.303125721906795,108.19754561944825,5440.805611547303,623.8087158203125,1.0012980992300362,ztf_20180429401667_000543_zg_c14_o.fits,52.0,ZTF_g,58237.401701400006,14,3,6.2,10.0,1.0,26.008221,2.1674299999999997e-05,0.044275,-0.017193,6.92596e-05,-3.739e-05,25.997999,25.998939,0.044346,0.503,0.54,0.146429,4,55,3.323,18.76,1,1,543,37.2479,0.9954430000000001,1559.8469318338578,1447.4354490160492,False,25309781739.002743,505253.3018072036,-1.829455749535485e-09,4.274930014772217e-09,18.76,99.0,99.0
8,8.905438876485363,0.257567045364738,-30.22322006934227,46.43928876353553,4506.902042788912,623.79248046875,1.0012720392756822,ztf_20180506481238_000543_zr_c14_o.fits,14.0,ZTF_r,58244.48125,14,3,6.2,10.0,1.0,26.185647,1.9867e-06,0.01857,0.08104299999999999,5.904500000000001e-06,-3.28e-06,26.229,26.230658000000002,0.022994,0.508,0.555,0.167324,4,55,2.661,20.08,1,2,543,33.1468,-0.65278,1578.4335673247988,1451.8842667566073,False,29802918831.937756,54533.92691883282,-1.014102687048025e-09,1.5582127718914106e-09,20.08,99.0,99.0
9,6.1026235593700315,0.17451027423527415,15.618035075779964,24.77381329820776,4034.522892305035,623.8128662109375,1.0013047611732544,ztf_20180509461944_000543_zr_c14_o.fits,15.0,ZTF_r,58247.46195599999,14,3,6.2,10.0,1.0,26.201413,1.4062e-06,0.015734,0.07964700000000001,4.1939e-06,-2.32e-06,26.243999,26.245557,0.020637,0.508,0.5539999999999999,0.16766099999999998,4,55,1.8730000000000002,21.04,1,2,543,16.3119,-0.370383,1578.9925402252545,1494.2982767557194,False,30238845078.26673,39164.08402216937,5.164891395605899e-10,8.192711472311307e-10,21.04,99.0,99.0
