,obsmjd,telescope,band,mag,mag_err,alert
13,58709.84,WISE,W1,17.17738077921026,0.10058686975299298,True
14,58910.79,WISE,W1,16.494227117064547,0.06417688109243937,True
15,59074.01,WISE,W1,16.467968896776775,0.07979891419489728,True
29,58709.84,WISE,W2,17.080575253854242,0.21854401494731002,True
30,58910.79,WISE,W2,16.366221565200625,0.10261748960937019,True
31,59074.01,WISE,W2,16.19536388126985,0.10844001870896683,True
