band,telescope,obsmjd,mag,mag_err,alert
UVW2,Swift,58688.411506,19.327896,0.13354847,True
UVW2,Swift,58693.691472,19.354584,0.09214019,True
UVW2,Swift,58705.752935,19.335875,0.10957572,True
UVW2,Swift,58707.276396,19.343969,0.099333458,True
UVW2,Swift,58712.416554,19.434927,0.10580643,True
UVW2,Swift,58719.557744,19.659048,0.17177425,True
UVW2,Swift,58724.337263,19.374479,0.101391,True
UVW2,Swift,58729.914907,19.694052,0.16817872,True
UVW2,Swift,58734.435356,19.791573,0.11743566,True
UVW2,Swift,58750.431,19.862637,0.1030604,True
UVW2,Swift,59007.690095,20.336237,0.11962118,True
U,Swift,58659.790769,18.325232,0.097748637,True
U,Swift,58672.453876,18.526505,0.10001575,True
U,Swift,58678.268222,18.555342,0.11753001,True
U,Swift,58683.762656,18.638399,0.18535799,True
U,Swift,58688.409546,18.42461,0.14733407,True
U,Swift,58693.689475,18.514759,0.095200911,True
U,Swift,58705.749763,18.391745,0.11087659,True
U,Swift,58707.272195,18.416176,0.099212125,True
U,Swift,58712.414395,18.559835,0.12345038,True
U,Swift,58719.55621,18.223999,0.14840581,True
U,Swift,58724.335168,18.43228,0.11010879,True
U,Swift,58729.580637,18.692541,0.13048047,True
U,Swift,58734.431226,18.488216,0.10414004,True
U,Swift,58750.429169,18.699741,0.10508538,True
U,Swift,59007.690095,19.535429,0.12017627,True
V,Swift,58659.797638,17.896246,0.1689634,True
V,Swift,58672.457141,18.104002,0.17872331,True
V,Swift,58678.271147,18.019234,0.20007767,True
V,Swift,58683.765071,18.002487,0.30967346,True
V,Swift,58688.412937,18.117838,0.27170774,True
V,Swift,58693.694219,17.826971,0.14086673,True
V,Swift,58705.755286,17.72427,0.17136867,True
V,Swift,58707.279511,18.030968,0.17628694,True
V,Swift,58712.417881,17.990265,0.18945429,True
V,Swift,58719.558858,17.565239,0.22343127,True
V,Swift,58724.338881,17.895567,0.16952622,True
V,Swift,58729.916147,18.236206,0.33871013,True
V,Swift,58734.43842,17.810152,0.1572174,True
V,Swift,58750.432195,18.025635,0.15668081,True
J,P200,59031,19.088,0.416,True
H,P200,59031,17.848,0.176,True
Ks,P200,59031,17.283,0.074,True
J,P200,59121,19.706,0.529,True
H,P200,59121,17.96,0.385,True
Ks,P200,59121,17.654,0.084,True
H,P200,59249,18.573,0.603,True
Ks,P200,59249,18.08,0.053,True
