,obsmjd,H_vegamag_host,H_vegamag_psf,J_vegamag_host,J_vegamag_psf,Ks_vegamag_host,Ks_vegamag_psf,J_abmag_host2,H_abmag_host2,Ks_abmag_host2
0,59031,15.8141,16.8473,17.6063,17.2524,15.0193,16.0173,24,24,24
1,59121,15.8141,17.1323,17.6063,17.5088,15.0193,16.7266,24,24,24
2,59249,15.8141,18.6792,17.6063,17.8868,15.0193,18.2252,24,24,24
3,59362,15.8141,20.5874,17.6063,17.8592,15.0193,21.1641,24,24,24
