,obsmjd,filter_id,flux,flux_err,mag,mag_err,magzp,magzp_err
0,58612.4221,2,330.5212384242681,56.25505894668322,19.8866329193115,0.184791877865791,26.1846313476562,1.60549996053305e-06
1,58873.5351,2,1047.129651766579,88.62558243601981,18.7113246917725,0.0918914154171944,26.2613258361816,1.72720001501148e-06
2,58876.5363,1,854.2799020887409,98.38967043275218,18.8816738128662,0.125043302774429,26.2106742858887,3.83989981855848e-06
3,58876.5746,2,1077.4565106167156,98.23642252701535,18.7149257659912,0.0989891439676285,26.2959251403809,2.20640004044981e-06
4,58885.4668,1,785.5979615799134,156.45582288995138,18.9003200531006,0.216216951608658,26.1383209228516,1.29932996060234e-05
5,58885.5435,2,1080.439905990061,119.76522977627303,18.7007350921631,0.12035059928894,26.2847366333008,1.75649995526328e-06
6,58891.4747,1,814.3295056545207,127.9177962807276,18.9123802185059,0.170544385910034,26.189380645752,7.00010014043073e-06
7,58894.5409,2,1185.7702479850445,83.86280444398663,18.6067943572998,0.0767861753702164,26.2917957305908,1.81359996531683e-06
8,58894.5593,1,962.0553814333765,113.66996538884571,18.8210334777832,0.128280073404312,26.2790336608887,3.22339997183008e-06
9,58898.5238,2,1160.9145716854778,83.9881148159198,18.6216602325439,0.0785476490855217,26.2836608886719,1.59900002927316e-06
10,58898.5617,1,907.8209129297948,88.1636365312987,18.9047183990479,0.105439603328705,26.2997188568115,2.42929991145502e-06
11,58904.5242,2,1093.452819668798,102.47559185111075,18.6890182495117,0.101750761270523,26.286018371582,1.68209999173996e-06
12,58904.5525,1,909.4938017152771,107.22677118664292,18.8772258758545,0.128000721335411,26.2742252349854,4.57580017609871e-06
13,58908.5139,2,1103.5706466809404,83.91940140848845,18.6689586639404,0.082561694085598,26.2759590148926,1.54019994624832e-06
14,58911.5038,2,990.8317360175598,92.94150468966407,18.7776470184326,0.101841039955616,26.2676467895508,2.67890004579385e-06
15,58911.5374,1,845.6688181147426,89.64468160601072,18.9522438049316,0.115087881684303,26.2702445983887,5.05390016769525e-06
16,58914.4641,1,832.530663059702,86.96341678523487,18.9208030700684,0.113409467041492,26.2218036651611,3.00379997497657e-06
17,58914.536,2,1028.9637024449898,78.86167505409817,18.7483577728271,0.0832100957632065,26.2793579101562,2.75520005743601e-06
18,58936.4984,1,725.7719358645812,80.8115549779972,19.0855922698975,0.12088655680418,26.2375926971436,5.49420019524405e-06
19,58936.507,2,969.1697298121674,93.59286975935589,18.7878437042236,0.104847818613052,26.2538433074951,1.92690004041651e-06
20,58943.4437,1,707.945784384138,101.5492368278341,19.116340637207,0.155736654996872,26.241340637207,3.68430005437403e-06
21,58943.4815,2,948.8543532671829,86.50272153098163,18.8247528076172,0.0989800319075584,26.2677516937256,1.61479999860603e-06
22,58953.4565,2,883.8945409768347,77.91957223927592,18.8984775543213,0.0957110077142715,26.2644786834717,1.91200001609104e-06
23,58954.4326,1,692.4683572721962,83.20030587107003,19.1530132293701,0.13044685125351,26.2540130615234,4.75839988212101e-06
24,58956.4855,2,280.80194779235126,54.35310911145471,19.3025531768799,0.210133537650108,25.4235534667969,2.58102008956484e-05
25,58961.458,2,863.7734309059258,80.38868678009634,18.9028987884521,0.101044021546841,26.2438983917236,2.07680000130495e-06
26,58964.3825,1,651.628302481874,62.52096630696015,19.2075748443604,0.104169555008411,26.2425746917725,2.25110011342622e-06
27,58964.4227,2,847.2271760042372,66.04366065618537,18.9581909179688,0.0846342742443085,26.278190612793,1.83980000656447e-06
28,58967.3831,2,824.8963530433912,78.35866400738499,18.9826507568359,0.103134587407112,26.2736492156982,1.84259999969072e-06
29,58967.4363,1,616.0268042433418,88.0376965839092,19.2910575866699,0.155159533023834,26.2650566101074,5.37630012331647e-06
30,58970.4143,2,803.1569374694955,74.36970300339128,19.060546875,0.100534006953239,26.3225479125977,1.64230004884303e-06
31,58970.4645,1,644.4664104319934,64.94625994645148,19.3036651611328,0.109411172568798,26.3266658782959,4.19170009990921e-06
32,58973.354,2,869.3603504089216,91.08567068433182,18.958194732666,0.113754563033581,26.3061943054199,1.53519999912533e-06
33,58973.4642,1,636.2097365748516,65.60588554338676,19.2997360229492,0.111958838999271,26.3087368011475,2.2055000954424e-06
34,58980.3144,2,784.1515846095907,87.46707564068603,19.0509738922119,0.121105633676052,26.2869739532471,1.30789999275294e-06
35,58980.3986,1,629.7956788230224,104.19020085109989,19.3022155761719,0.179614931344986,26.3002147674561,3.81020004169841e-06
36,58984.4021,2,767.7144898266408,66.17481838666954,19.0953025817871,0.0935854688286781,26.3083019256592,1.95110010281496e-06
37,58985.3781,2,780.549338680254,79.02344503960032,19.055046081543,0.109918937087059,26.2860469818115,1.9066000049861e-06
38,58985.4211,1,561.305989583598,68.33548240478423,19.4013423919678,0.132178291678429,26.274341583252,3.31809997078381e-06
39,58986.2952,2,769.1305483791717,65.45285235245645,19.0800647735596,0.0923940017819405,26.2950649261475,1.95570009964285e-06
40,58986.3967,1,628.0577409483628,49.14492206352369,19.3045387268066,0.0849539488554001,26.2995376586914,3.90410014006193e-06
41,58987.3315,2,771.9691499678994,63.25022392606616,19.0966606140137,0.0889563634991646,26.3156604766846,1.95729990082327e-06
